CIP13;Designation;Product;ATC2_code;ATC2;ATC3_code;ATC3;ATC5_code;ATC5
3400921604696;Yellox 0,9mg/ml colly fl5ml 1;Yellox;S01;Medicaments ophtalmologiques;S01R;Antiinflammatoires non steroidiens ophtalmiques;S01BC11;Bromfenac
3400921605068;Esomeprazole rpg 20mg cpr 28;Esomeprazole rpg;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC05;Esomeprazole
3400921607888;Esomeprazole biogaran 20 mg 1 boite de 7, comprime;Esomeprazole biogaran;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC05;Esomeprazole
3400921607949;Esomeprazole biogaran 20 mg 1 boite de 14, comprim;Esomeprazole biogaran;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC05;Esomeprazole
3400921608199;Esomeprazole biogaran 20 mg 1 boite de 28, comprim;Esomeprazole biogaran;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC05;Esomeprazole
3400921609080;Avonex 0,03mg/0,5ml sol inj stylo 4;Avonex;L03;Immunostimulants;L03B2;Interferons, beta;L03AB07;Interferon beta-1a
3400921609370;Esomeprazole biogaran 40 mg 1 boite de 14, comprim;Esomeprazole biogaran;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC05;Esomeprazole
3400921609660;Esomeprazole biogaran 40 mg 1 boite de 28, comprim;Esomeprazole biogaran;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC05;Esomeprazole
3400921610550;Polygynax virgo capsule vaginale 6;Polygynax virgo capsule vaginale;G01;Antiinfectieux et antiseptiques a usage gynecologique;G01B;Antifongiques gynecologiques;G01AA51;Nystatine en association
3400921610840;Nicorandil sdz 20mg cpr 30;Nicorandil sdz;C01;Medicaments en cardiologie;C01D;Therapeutique coronarienne, antagonistes calciques et derives nitres exclus;C01DX16;Nicorandil
3400921611731;Nicorandil sdz 10mg cpr 30;Nicorandil sdz;C01;Medicaments en cardiologie;C01D;Therapeutique coronarienne, antagonistes calciques et derives nitres exclus;C01DX16;Nicorandil
3400921612790;Lhrh ferring 0,1 mg sol inj amp 1;Lhrh ferring;V04;Medicaments pour diagnostic;T02X9;Tout autre test diagnostique;V04CM01;Gonadoreline
3400921617535;Valsartan/hctz crt 80/12,5mg cpr 30;Valsartan/hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA03;Valsartan et diuretiques
3400921618075;Valsartan/hctz crt 80/12,5mg cpr 90;Valsartan/hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA03;Valsartan et diuretiques
3400921619195;Valsartan/hctz crt 160/12,5mg cpr 30;Valsartan/hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA03;Valsartan et diuretiques
3400921619546;Valsartan/hctz crt 160/12,5mg cpr 90;Valsartan/hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA03;Valsartan et diuretiques
3400921620726;Valsartan/hctz crt 160/25mg cpr 30;Valsartan/hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA03;Valsartan et diuretiques
3400921621266;Valsartan/hctz crt 160/25mg cpr 90;Valsartan/hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA03;Valsartan et diuretiques
3400921625929;Levetiracetam tvc 250mg cpr 60;Levetiracetam tvc;N03;Antiepileptiques;N03A;Antiepileptique;N03AX14;Levetiracetam
3400921626001;Levetiracetam tvc 500mg cpr 60;Levetiracetam tvc;N03;Antiepileptiques;N03A;Antiepileptique;N03AX14;Levetiracetam
3400921626179;Levetiracetam tvc 1000mg cpr 60;Levetiracetam tvc;N03;Antiepileptiques;N03A;Antiepileptique;N03AX14;Levetiracetam
3400921628999;Esomeprazole ref40mg cpr 28;Esomeprazole ref;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC05;Esomeprazole
3400921636116;Letrozole crt 2,5mg cpr 30;Letrozole crt;L02;Therapeutique endocrine;L02B3;Inhibiteurs de l'aromatase cytostatiques;L02BG04;Letrozole
3400921643497;Losartan hctz myp 100/12,5mg cpr 28;Losartan hctz myp;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA01;Losartan et diuretiques
3400921644098;Losartan hctz myp 100/12,5mg cpr 90;Losartan hctz myp;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA01;Losartan et diuretiques
3400921653663;Doxazosine substipharm lp 4mg cpr 28;Doxazosine substipharm lp;C02;Antihypertenseurs;G04C2;Antagonistes alpha-adrenergiques contre l'hbp non associes;C02CA04;Doxazosine
3400921654783;Exemestane rbx 25mg cpr 30;Exemestane rbx;L02;Therapeutique endocrine;L02B3;Inhibiteurs de l'aromatase cytostatiques;L02BG06;Exemestane
3400921655674;Doxazosine arw lp 8mg cpr ca 28;Doxazosine arw lp;C02;Antihypertenseurs;G04C2;Antagonistes alpha-adrenergiques contre l'hbp non associes;C02CA04;Doxazosine
